ID,E,N,Z,Xa,Huyen,Tinh,QSH,QCN,QTM-DV,QRE1,Qi,KS,QSP,QT,fT,QAN,fAN,QAQ,fAQ,QRE2,QNN,QRE3,Qs,fs,Ws,Qg,fg,Wg,Qr,fr,Wr,Wru,WSCI1,WSCI2,WSC3
X849,106.124,9.62603,2,Long Phú,Long Phú,Sóc Trăng,1311.000,66.000,197.000,1574.000,314.000,1.120,351.840,52037.158,0.005,280.565,1,16315.068,0.001,2131,68632.791,66501.791,6863279.073,0,686.328,5490.623,0.002,10.981,1369863.014,0.05,68493.151,69190.46,0.224,0.165,1.04
X850,105.799,9.63863,2,Huỳnh Hữu Nghĩa,Mỹ Tú,Sóc Trăng,703.000,35.000,105.000,844.000,428.000,1.120,479.270,770819.178,0.005,457.491,1,122400,0.001,5278,893676.669,888398.669,89367666.9,0,8936.767,71494.134,0.002,142.988,1369863.014,0.05,68493.151,77572.906,0.568,0.091,0.087
X851,105.132,9.56297,2,Minh Thuận,U Minh Thượng,Kiên Giang,1923.000,96.000,288.000,2308.000,111.000,1.120,124.070,74141.986,0.005,132.893,1,671561.644,0.001,3483,745836.523,742353.523,745836523.5,0,74583.652,596669.219,0.002,1193.338,1369863.014,0.05,68493.151,144270.141,0.054,0.036,0.194
X852,106.061,9.87007,2,Cầu Kè,Cầu Kè,Trà Vinh,622.000,31.000,93.000,746.000,289.000,1.120,323.220,143044.475,0.005,1235.815,1,17397.26,0.001,2714,161677.551,158963.551,16167755.05,0,1616.776,12934.204,0.002,25.868,1369863.014,0.05,68493.151,70135.795,0.433,0.119,0.441
X853,104.999,9.83255,2,Nam Thái,An Biên,Kiên Giang,1302.000,65.000,195.000,1562.000,625.000,1.120,699.780,51848.645,0.005,611.444,1,1087707.763,0.001,3520,1140167.852,1136647.852,1140167852,0,114016.785,912134.282,0.002,1824.269,1369863.014,0.05,68493.151,184334.204,0.448,0.199,0.162
X854,106.038,9.84549,2,Hòa Tân,Cầu Kè,Trà Vinh,988.000,49.000,148.000,1185.000,177.000,1.120,198.500,143044.475,0.005,1235.815,1,17397.26,0.001,3153,161677.551,158524.551,16167755.05,0,1616.776,12934.204,0.002,25.868,1369863.014,0.05,68493.151,70135.795,0.168,0.063,0.442
X855,106.133,9.84456,2,Phong Thạnh,Cầu Kè,Trà Vinh,1027.000,51.000,154.000,1233.000,346.000,1.120,387.880,143044.475,0.005,1235.815,1,17397.26,0.001,3201,161677.551,158476.551,16167755.05,0,1616.776,12934.204,0.002,25.868,1369863.014,0.05,68493.151,70135.795,0.315,0.121,0.443
X856,105.241,9.83831,2,Long Thạnh,Giồng Riềng,Kiên Giang,1842.000,92.000,276.000,2210.000,884.000,1.120,990.080,107643.622,0.005,890.025,1,206424.658,0.001,3845,314958.304,311113.304,314958304.1,0,31495.83,251966.643,0.002,503.933,1369863.014,0.05,68493.151,100492.914,0.448,0.257,0.323
X857,105.929,9.84362,2,Trinh Phú,Kế Sách,Sóc Trăng,1130.000,56.000,169.000,1356.000,288.000,1.120,322.540,101294.814,0.005,389.707,1,58332.681,0.001,2311,160017.202,157706.202,16001720.18,0,1600.172,12801.376,0.002,25.603,1369863.014,0.05,68493.151,70118.925,0.238,0.14,0.445
X858,104.882,9.63979,2,Vân Khánh Đông,An Minh,Kiên Giang,849.000,42.000,127.000,1019.000,0.000,1.120,0.480,33847.890,0.005,178.88,1,2091057.534,0.001,3458,2125084.305,2121626.305,2125084305,0,212508.43,1700067.444,0.002,3400.135,1369863.014,0.05,68493.151,284401.716,0,0,0.134
X859,105.428,9.61985,2,Lương Tâm,Long Mỹ,Hậu Giang,790.000,40.000,119.000,948.000,65.000,1.120,72.470,48170.258,0.005,788.538,1,39711.781,0.001,2017,88670.577,86653.577,88670577.45,0,8867.058,70936.462,0.002,141.873,1369863.014,0.05,68493.151,77502.081,0.076,0.036,0.894
